# File created by shivutils (I.Shivvers)
# wl(A)   flm(10^-15 erg/s/cm2/AA)    er(optional)
4562.00   0.24798228   0.01516954
4564.00   0.23665795   0.01489935
4566.00   0.28196421   0.01513797
4568.00   0.24560900   0.01491095
4570.00   0.24214759   0.01513112
4572.00   0.22640099   0.01487890
4574.00   0.23788570   0.01493480
4576.00   0.27722797   0.01502884
4578.00   0.23851876   0.01499204
4580.00   0.27370435   0.01513973
4582.00   0.26769394   0.01502268
4584.00   0.23737362   0.01496089
4586.00   0.29660934   0.01522270
4588.00   0.22216815   0.01479817
4590.00   0.32184735   0.01521774
4592.00   0.27735817   0.01494651
4594.00   0.25325257   0.01488129
4596.00   0.28884938   0.01493626
4598.00   0.28902245   0.01495702
4600.00   0.29074770   0.01495601
4602.00   0.26055896   0.01482859
4604.00   0.27668139   0.01474518
4606.00   0.28321320   0.01484259
4608.00   0.28712869   0.01500067
4610.00   0.31806681   0.01522008
4612.00   0.30381536   0.01492697
4614.00   0.31426242   0.01518752
4616.00   0.28476763   0.01505650
4618.00   0.29743460   0.01487831
4620.00   0.34570855   0.01516078
4622.00   0.29892534   0.01495565
4624.00   0.34589273   0.01528692
4626.00   0.32689589   0.01518392
4628.00   0.31338036   0.01509085
4630.00   0.30125964   0.01491191
4632.00   0.29367793   0.01480482
4634.00   0.31630519   0.01505752
4636.00   0.34430340   0.01514872
4638.00   0.32243156   0.01510619
4640.00   0.34571695   0.01517119
4642.00   0.35579181   0.01524579
4644.00   0.33633378   0.01528021
4646.00   0.31551564   0.01501931
4648.00   0.33162075   0.01502988
4650.00   0.33877590   0.01519259
4652.00   0.33181706   0.01519830
4654.00   0.36155170   0.01541377
4656.00   0.34534782   0.01545129
4658.00   0.35404548   0.01567468
4660.00   0.35380924   0.01558093
4662.00   0.33527848   0.01556830
4664.00   0.34621996   0.01542498
4666.00   0.35419190   0.01541452
4668.00   0.32157564   0.01514463
4670.00   0.33538669   0.01532031
4672.00   0.40648288   0.01575211
4674.00   0.39504179   0.01585068
4676.00   0.37972260   0.01567967
4678.00   0.36541340   0.01547034
4680.00   0.39460018   0.01553145
4682.00   0.36839944   0.01554922
4684.00   0.35825434   0.01550762
4686.00   0.39717367   0.01557650
4688.00   0.37387586   0.01547863
4690.00   0.40531099   0.01553815
4692.00   0.41581056   0.01561880
4694.00   0.39297539   0.01570052
4696.00   0.39050186   0.01555099
4698.00   0.39976582   0.01568453
4700.00   0.43816018   0.01580297
4702.00   0.42415392   0.01556644
4704.00   0.43029961   0.01564761
4706.00   0.40570349   0.01587100
4708.00   0.41755715   0.01593354
4710.00   0.41237205   0.01585966
4712.00   0.43703049   0.01595666
4714.00   0.47078761   0.01615426
4716.00   0.40778568   0.01580650
4718.00   0.44872245   0.01599236
4720.00   0.40537673   0.01578750
4722.00   0.40372270   0.01568672
4724.00   0.43458503   0.01583763
4726.00   0.41486216   0.01595482
4728.00   0.41130388   0.01585804
4730.00   0.40627080   0.01588661
4732.00   0.44149366   0.01596143
4734.00   0.39901319   0.01587317
4736.00   0.42942181   0.01597576
4738.00   0.43111274   0.01618923
4740.00   0.45030981   0.01629410
4742.00   0.45342126   0.01633048
4744.00   0.45297021   0.01633231
4746.00   0.44924957   0.01616375
4748.00   0.45145711   0.01605657
4750.00   0.39908585   0.01570886
4752.00   0.46992433   0.01604809
4754.00   0.47742504   0.01603230
4756.00   0.41936889   0.01576298
4758.00   0.43706721   0.01577251
4760.00   0.44319513   0.01574115
4762.00   0.42949381   0.01557905
4764.00   0.43529153   0.01557414
4766.00   0.44273901   0.01561731
4768.00   0.43678126   0.01563423
4770.00   0.43136531   0.01549608
4772.00   0.45109841   0.01571648
4774.00   0.42680055   0.01560418
4776.00   0.41781443   0.01563470
4778.00   0.40749463   0.01553848
4780.00   0.42546943   0.01556060
4782.00   0.42859051   0.01555341
4784.00   0.42617747   0.01550931
4786.00   0.40353981   0.01519188
4788.00   0.39894947   0.01521118
4790.00   0.37704217   0.01514069
4792.00   0.38838285   0.01514534
4794.00   0.41335627   0.01531468
4796.00   0.40054420   0.01507631
4798.00   0.40529677   0.01515288
4800.00   0.38497964   0.01503089
4802.00   0.39009747   0.01514743
4804.00   0.38043240   0.01496124
4806.00   0.40275925   0.01495734
4808.00   0.38774851   0.01500048
4810.00   0.39148134   0.01499715
4812.00   0.38611898   0.01494133
4814.00   0.40411517   0.01515984
4816.00   0.38140479   0.01513162
4818.00   0.34015468   0.01487102
4820.00   0.35840899   0.01506898
4822.00   0.36179104   0.01499424
4824.00   0.36872312   0.01505459
4826.00   0.33709767   0.01497762
4828.00   0.34633318   0.01496402
4830.00   0.34901279   0.01475127
4832.00   0.34712997   0.01494528
4834.00   0.31703696   0.01477337
4836.00   0.32620406   0.01468190
4838.00   0.32329783   0.01475742
4840.00   0.34229493   0.01483466
4842.00   0.34186673   0.01446097
4844.00   0.35161707   0.01469012
4846.00   0.35087118   0.01462339
4848.00   0.32957396   0.01436405
4850.00   0.32878461   0.01443604
4852.00   0.33304197   0.01450779
4854.00   0.31080589   0.01440143
4856.00   0.30914935   0.01402708
4858.00   0.29712731   0.01386823
4860.00   0.31432578   0.01407045
4862.00   0.30974135   0.01408668
4864.00   0.28491431   0.01406603
4866.00   0.28630459   0.01389995
4868.00   0.29838967   0.01400427
4870.00   0.28014690   0.01395024
4872.00   0.29716292   0.01375445
4874.00   0.30775332   0.01391029
4876.00   0.31049109   0.01382465
4878.00   0.28228906   0.01398509
4880.00   0.29290754   0.01391704
4882.00   0.31444433   0.01407397
4884.00   0.28968883   0.01397008
4886.00   0.28982756   0.01388683
4888.00   0.31186283   0.01392632
4890.00   0.29891372   0.01390358
4892.00   0.25856647   0.01375498
4894.00   0.27087507   0.01368268
4896.00   0.25838569   0.01367758
4898.00   0.25687447   0.01360694
4900.00   0.26009130   0.01365803
4902.00   0.25420490   0.01352477
4904.00   0.27180883   0.01362130
4906.00   0.24885224   0.01351903
4908.00   0.25371709   0.01344557
4910.00   0.26512673   0.01351098
4912.00   0.24613504   0.01329314
4914.00   0.25229844   0.01350226
4916.00   0.27960771   0.01351805
4918.00   0.24615745   0.01335288
4920.00   0.24726400   0.01331477
4922.00   0.23652518   0.01319424
4924.00   0.25933722   0.01330275
4926.00   0.24156792   0.01323998
4928.00   0.23834087   0.01325088
4930.00   0.23812260   0.01327340
4932.00   0.22989102   0.01323356
4934.00   0.28784657   0.01335774
4936.00   0.25467521   0.01317998
4938.00   0.22410494   0.01302023
4940.00   0.30481470   0.01348600
4942.00   0.25409329   0.01336021
4944.00   0.25955158   0.01331670
4946.00   0.28127474   0.01347680
4948.00   0.29847455   0.01366906
4950.00   0.28186673   0.01339665
4952.00   0.30437267   0.01361286
4954.00   0.26150659   0.01341704
4956.00   0.28618297   0.01345712
4958.00   0.32311359   0.01354882
4960.00   0.30241519   0.01353881
4962.00   0.29255614   0.01352290
4964.00   0.30174494   0.01380692
4966.00   0.28298700   0.01370939
4968.00   0.29777518   0.01369980
4970.00   0.30333230   0.01371736
4972.00   0.30710995   0.01364055
4974.00   0.33424318   0.01382739
4976.00   0.29394799   0.01386458
4978.00   0.29660511   0.01383024
4980.00   0.30246443   0.01389986
4982.00   0.28362793   0.01383336
4984.00   0.27939871   0.01380325
4986.00   0.28554797   0.01384285
4988.00   0.31485802   0.01389013
4990.00   0.30296066   0.01372754
4992.00   0.29275250   0.01372120
4994.00   0.28997269   0.01356461
4996.00   0.30723459   0.01365193
4998.00   0.28429696   0.01337115
5000.00   0.29383919   0.01334873
5002.00   0.26901919   0.01315837
5004.00   0.28221539   0.01307369
5006.00   0.30447036   0.01347447
5008.00   0.33634758   0.01407189
5010.00   0.34903219   0.01432139
5012.00   0.33509693   0.01375145
5014.00   0.33833104   0.01341143
5016.00   0.30803362   0.01303989
5018.00   0.29838479   0.01310882
5020.00   0.27026191   0.01292922
5022.00   0.30022386   0.01308263
5024.00   0.29255548   0.01321722
5026.00   0.27346301   0.01303308
5028.00   0.29226959   0.01301600
5030.00   0.26850685   0.01303891
5032.00   0.29396138   0.01327885
5034.00   0.28834873   0.01317696
5036.00   0.30776304   0.01323860
5038.00   0.28800806   0.01292950
5040.00   0.29520842   0.01301502
5042.00   0.28739670   0.01292052
5044.00   0.31423751   0.01341187
5046.00   0.32730231   0.01340986
5048.00   0.31070235   0.01328471
5050.00   0.29724526   0.01330341
5052.00   0.31488624   0.01338135
5054.00   0.30619946   0.01316947
5056.00   0.33771384   0.01351807
5058.00   0.32324418   0.01339040
5060.00   0.32285652   0.01349960
5062.00   0.31017771   0.01357887
5064.00   0.28653470   0.01340490
5066.00   0.29210562   0.01350114
5068.00   0.31651530   0.01353201
5070.00   0.30986607   0.01335878
5072.00   0.34560916   0.01351920
5074.00   0.32190204   0.01337655
5076.00   0.30688184   0.01330724
5078.00   0.31733152   0.01342589
5080.00   0.33393684   0.01384259
5082.00   0.32180417   0.01392847
5084.00   0.33922535   0.01418106
5086.00   0.33072364   0.01415908
5088.00   0.36253598   0.01421867
5090.00   0.35436857   0.01382782
5092.00   0.31807077   0.01372985
5094.00   0.34845942   0.01381199
5096.00   0.35622022   0.01387442
5098.00   0.33645663   0.01374748
5100.00   0.33842871   0.01379121
5102.00   0.35158047   0.01386810
5104.00   0.35901627   0.01379532
5106.00   0.34637865   0.01376344
5108.00   0.35028645   0.01371531
5110.00   0.37328950   0.01383700
5112.00   0.33693215   0.01371857
5114.00   0.34851682   0.01379088
5116.00   0.35216972   0.01366661
5118.00   0.33238137   0.01352785
5120.00   0.33505040   0.01359609
5122.00   0.33778653   0.01345864
5124.00   0.29629940   0.01326504
5126.00   0.30302793   0.01322563
5128.00   0.33224496   0.01343295
5130.00   0.32768989   0.01341139
5132.00   0.33399773   0.01334463
5134.00   0.33239534   0.01337523
5136.00   0.32264733   0.01336668
5138.00   0.29876220   0.01318589
5140.00   0.29928803   0.01321614
5142.00   0.31791961   0.01341229
5144.00   0.27983719   0.01316029
5146.00   0.32645139   0.01352130
5148.00   0.32659891   0.01338104
5150.00   0.28528115   0.01343519
5152.00   0.31856304   0.01343437
5154.00   0.31253117   0.01344726
5156.00   0.29595608   0.01333957
5158.00   0.31745350   0.01359244
5160.00   0.32396245   0.01361980
5162.00   0.29363909   0.01335950
5164.00   0.27888355   0.01309907
5166.00   0.29404366   0.01294538
5168.00   0.27200142   0.01272850
5170.00   0.29076090   0.01259518
5172.00   0.27553415   0.01255605
5174.00   0.27480805   0.01252676
5176.00   0.28192672   0.01283159
5178.00   0.26782250   0.01274419
5180.00   0.29330596   0.01281151
5182.00   0.29032671   0.01269669
5184.00   0.26652867   0.01257493
5186.00   0.28431249   0.01279345
5188.00   0.28223714   0.01270974
5190.00   0.28077957   0.01267660
5192.00   0.28715196   0.01280058
5194.00   0.26394460   0.01260291
5196.00   0.28783587   0.01279790
5198.00   0.28168267   0.01283684
5200.00   0.28584847   0.01297692
5202.00   0.28345549   0.01283384
5204.00   0.26630998   0.01258985
5206.00   0.26240292   0.01271976
5208.00   0.29340082   0.01277101
5210.00   0.26300025   0.01267268
5212.00   0.27684164   0.01270711
5214.00   0.29475707   0.01285849
5216.00   0.26300603   0.01269700
5218.00   0.25767902   0.01269661
5220.00   0.25505665   0.01272110
5222.00   0.27611437   0.01274210
5224.00   0.26346216   0.01271593
5226.00   0.24598792   0.01251845
5228.00   0.25346130   0.01249140
5230.00   0.26897591   0.01257955
5232.00   0.26888052   0.01261042
5234.00   0.26343298   0.01240806
5236.00   0.25348964   0.01230672
5238.00   0.26649866   0.01247530
5240.00   0.27007088   0.01244982
5242.00   0.26346591   0.01241679
