# File created by shivutils (I.Shivvers)
# wl(A)   flm(10^-15 erg/s/cm2/AA)    er(optional)
4740.00   0.12021344   0.00583053
4742.00   0.13492575   0.00602643
4744.00   0.12246899   0.00588890
4746.00   0.12559336   0.00568612
4748.00   0.12730128   0.00552912
4750.00   0.11997813   0.00549883
4752.00   0.12029216   0.00555756
4754.00   0.13699396   0.00557627
4756.00   0.12856092   0.00544486
4758.00   0.10873262   0.00531166
4760.00   0.11201958   0.00529780
4762.00   0.12416082   0.00533600
4764.00   0.13109142   0.00532742
4766.00   0.12234085   0.00530453
4768.00   0.11925144   0.00527922
4770.00   0.12087644   0.00523363
4772.00   0.11987069   0.00527806
4774.00   0.11117499   0.00518628
4776.00   0.10830571   0.00517076
4778.00   0.11866553   0.00534290
4780.00   0.12616052   0.00538179
4782.00   0.11876278   0.00524842
4784.00   0.11116580   0.00521008
4786.00   0.11386523   0.00518093
4788.00   0.11861533   0.00523124
4790.00   0.11138333   0.00517084
4792.00   0.10738898   0.00519342
4794.00   0.09888976   0.00511894
4796.00   0.10883983   0.00513120
4798.00   0.11321798   0.00512861
4800.00   0.11857351   0.00515129
4802.00   0.10620071   0.00509897
4804.00   0.10082432   0.00514146
4806.00   0.11201220   0.00512269
4808.00   0.11858338   0.00507881
4810.00   0.09809940   0.00499257
4812.00   0.10330435   0.00508740
4814.00   0.10245328   0.00506418
4816.00   0.10218155   0.00504523
4818.00   0.10865971   0.00513769
4820.00   0.10659806   0.00512464
4822.00   0.09961727   0.00510213
4824.00   0.09104734   0.00503303
4826.00   0.10117850   0.00511554
4828.00   0.09889609   0.00511444
4830.00   0.08926205   0.00512146
4832.00   0.09862436   0.00514057
4834.00   0.09323680   0.00511147
4836.00   0.09438052   0.00508376
4838.00   0.09817620   0.00522039
4840.00   0.09998665   0.00518330
4842.00   0.10226841   0.00514898
4844.00   0.09731948   0.00509906
4846.00   0.10220554   0.00511507
4848.00   0.09515768   0.00510360
4850.00   0.09651518   0.00509622
4852.00   0.09465451   0.00509103
4854.00   0.09319668   0.00508279
4856.00   0.10015403   0.00503573
4858.00   0.11043175   0.00508969
4860.00   0.09734496   0.00506498
4862.00   0.08678982   0.00509479
4864.00   0.09081798   0.00510559
4866.00   0.09727275   0.00508226
4868.00   0.09970276   0.00512431
4870.00   0.10126223   0.00509027
4872.00   0.08871167   0.00499622
4874.00   0.08583214   0.00499695
4876.00   0.08900466   0.00502738
4878.00   0.09871982   0.00509631
4880.00   0.08945215   0.00504831
4882.00   0.10054261   0.00509819
4884.00   0.08664100   0.00507723
4886.00   0.09710918   0.00512229
4888.00   0.09248515   0.00509188
4890.00   0.09627218   0.00513529
4892.00   0.09055375   0.00509569
4894.00   0.08667189   0.00510710
4896.00   0.09252532   0.00511689
4898.00   0.09349880   0.00506993
4900.00   0.08521511   0.00502642
4902.00   0.08693068   0.00502069
4904.00   0.08760528   0.00498871
4906.00   0.08720372   0.00501948
4908.00   0.08044496   0.00498050
4910.00   0.09075677   0.00506322
4912.00   0.08623039   0.00504375
4914.00   0.09192535   0.00505447
4916.00   0.07701392   0.00502281
4918.00   0.09160088   0.00504830
