% File created by shivutils (I.Shivvers)
% wl(A)   flm    er(optional)
4598.00   3.28719831   0.05087078
4600.00   3.36700177   0.05108107
4602.00   3.33724213   0.05107585
4604.00   3.35491776   0.05130694
4606.00   3.39880919   0.05167289
4608.00   3.40987897   0.05187441
4610.00   3.38631272   0.05178836
4612.00   3.38368177   0.05150058
4614.00   3.41816282   0.05173851
4616.00   3.41302872   0.05160395
4618.00   3.39489985   0.05149757
4620.00   3.41289449   0.05171195
4622.00   3.42402148   0.05174528
4624.00   3.40635729   0.05167188
4626.00   3.40135479   0.05146339
4628.00   3.35006404   0.05111152
4630.00   3.33079362   0.05089216
4632.00   3.31168294   0.05073617
4634.00   3.34682178   0.05076527
4636.00   3.27791667   0.05032589
4638.00   3.27520943   0.05027582
4640.00   3.30359483   0.05053319
4642.00   3.26289821   0.05035776
4644.00   3.22371459   0.04999059
4646.00   3.26671004   0.05006728
4648.00   3.24336839   0.04997112
4650.00   3.26571894   0.05020771
4652.00   3.22515798   0.05001556
4654.00   3.14946699   0.04954578
4656.00   3.21120977   0.04987377
4658.00   3.22316837   0.05002679
4660.00   3.18987608   0.04998846
4662.00   3.13738894   0.04964632
4664.00   3.16265607   0.04960158
4666.00   3.17285085   0.04956539
4668.00   3.12173104   0.04946601
4670.00   3.16829157   0.04979405
4672.00   3.16272378   0.04964805
4674.00   3.15995765   0.04952010
4676.00   3.19160271   0.04938915
4678.00   3.16530728   0.04911732
4680.00   3.15255976   0.04892831
4682.00   3.20088768   0.04911194
4684.00   3.16407967   0.04887443
4686.00   3.16990447   0.04875447
4688.00   3.23608255   0.04900795
4690.00   3.22085142   0.04898276
4692.00   3.22699690   0.04879825
4694.00   3.23653841   0.04887207
4696.00   3.18449211   0.04851255
4698.00   3.18613005   0.04843295
4700.00   3.19050097   0.04830518
4702.00   3.21282291   0.04834561
4704.00   3.25333285   0.04876280
4706.00   3.27670050   0.04906495
4708.00   3.28350663   0.04905248
4710.00   3.26359940   0.04905630
4712.00   3.31409955   0.04910383
4714.00   3.26193070   0.04870233
4716.00   3.27477241   0.04875858
4718.00   3.28751707   0.04878660
4720.00   3.26701951   0.04875359
4722.00   3.24361014   0.04863881
4724.00   3.26452446   0.04861287
4726.00   3.28971529   0.04913085
4728.00   3.27454853   0.04948697
4730.00   3.23568583   0.04925941
4732.00   3.34650135   0.04972011
4734.00   3.31675363   0.04975887
4736.00   3.27082086   0.04952108
4738.00   3.29093671   0.04991279
4740.00   3.38543606   0.05063527
4742.00   3.38648939   0.05076262
4744.00   3.37086987   0.05025736
4746.00   3.33597541   0.04926312
4748.00   3.38284397   0.04896298
4750.00   3.35499978   0.04881355
4752.00   3.36639738   0.04903793
4754.00   3.32915068   0.04858117
4756.00   3.30538368   0.04826792
4758.00   3.35092521   0.04831675
4760.00   3.33369160   0.04816758
4762.00   3.35354400   0.04788570
4764.00   3.32964754   0.04783345
4766.00   3.37167573   0.04811912
4768.00   3.33093071   0.04773327
4770.00   3.31373978   0.04776233
4772.00   3.36023617   0.04800266
4774.00   3.33674359   0.04795172
4776.00   3.36417818   0.04820526
4778.00   3.36207056   0.04848067
4780.00   3.33578920   0.04817801
4782.00   3.31897044   0.04770583
4784.00   3.36107445   0.04780438
4786.00   3.35153580   0.04777163
4788.00   3.28606701   0.04738130
4790.00   3.34355116   0.04759515
4792.00   3.28926873   0.04736427
4794.00   3.33641171   0.04752930
4796.00   3.28102088   0.04713725
4798.00   3.29044914   0.04703375
4800.00   3.31793499   0.04718160
4802.00   3.22846723   0.04680125
4804.00   3.27528548   0.04699291
4806.00   3.25035119   0.04685441
4808.00   3.20236111   0.04669216
4810.00   3.21133471   0.04676271
4812.00   3.23400903   0.04666229
4814.00   3.25270629   0.04683485
4816.00   3.17626810   0.04662491
4818.00   3.17069864   0.04652428
4820.00   3.15967226   0.04645831
4822.00   3.14166498   0.04641198
4824.00   3.16777849   0.04656668
4826.00   3.16805983   0.04668560
4828.00   3.20786548   0.04688378
4830.00   3.18332815   0.04673853
4832.00   3.14241600   0.04650611
