SN_name,spectra_file,obs_date,dereddening,smoothing,source,frame
2010md,2010md_2010-07-14_00-00-00_P200_DBSP_PTF_0.dat,2455391.5,No,Yes,PTF,Rest
2010md,2010md_2010-07-07_00-00-00_Lick-3m_KAST_PTF_0.dat,2455384.5,No,Yes,PTF,Rest
2010md,2010md_2010-09-10_00-00-00_Mayall_RC-Spec_PTF_0.dat,2455449.5,No,Yes,PTF,Rest
2010md,SN_2010md_2010-07-07_07-55-12_Lick-3m_KAST_UCB-SNDB_0.flm,2455384.83,No,No,UCB-SNDB,Unknown
2010md,2010md_2010-08-11_00-00-00_Keck1_LRIS_PTF_0.dat,2455419.5,No,Yes,PTF,Rest
2010md,2010md_2011-03-12_00-00-00_Keck1_LRIS_PTF_0.dat,2455632.5,No,Yes,PTF,Rest
2010md,2010md_2010-07-08_00-00-00_Keck1_LRIS_PTF.dat,2455385.5,No,Yes,PTF,Rest
PS1-11afv,PS1-11afv_2011-07-09_Gemini-N_GMOS_None.ascii,2455751.5,No,No,2018ApJ...852...81L,Unknown
LSQ12dlf,LSQ12dlf_2012-08-08_07-56-05_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456147.8306134,No,No,PESSTO-SSDR1-2,Unknown
LSQ12dlf,LSQ12dlf_2012-08-12_17-13-47_ANU-2.3m_WiFeS_PESSTO.dat,2456152.2179051,No,No,PESSTO,Unknown
LSQ12dlf,LSQ12dlf_2012-08-25_06-57-19_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456164.7898032,No,No,PESSTO-SSDR1-2,Unknown
LSQ12dlf,LSQ12dlf_2012-09-12_00-00-00_VLT-UT2_X-Shooter_None.txt,2456182.5,No,No,2014MNRAS.444.2096N,Unknown
LSQ12dlf,LSQ12dlf_2012-08-19_07-30-45_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456158.8130208,No,No,PESSTO-SSDR1-2,Unknown
LSQ12dlf,LSQ12dlf_2012-08-08_07-56-05_ESO-NTT_EFOSC2-NTT_PESSTO.asci,2456147.8306134,No,No,PESSTO,Unknown
LSQ12dlf,LSQ12dlf_2012-08-11_16-36-21_ANU-2.3m_WiFeS_PESSTO.dat,2456151.1919097,No,No,PESSTO,Unknown
LSQ12dlf,LSQ12dlf_2012-08-10_07-57-55_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456149.8318866,No,No,PESSTO-SSDR1-2,Unknown
LSQ12dlf,LSQ12dlf_2012-08-12_17-13-47_ANU-2.3m_WiFeS_PESSTO_0.dat,2456152.2179051,No,No,PESSTO,Unknown
LSQ12dlf,LSQ12dlf_2012-09-23_08-19-12_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456193.8466667,No,No,PESSTO-SSDR1-2,Unknown
LSQ12dlf,LSQ12dlf_2012-08-10_08-28-45_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456149.8532986,No,No,PESSTO-SSDR1-2,Unknown
LSQ12dlf,LSQ_12dlf_2012-08-23_11-25-26_Lick-3m_KAST_UCB-SNDB_0.flm,2456162.9759954,No,No,UCB-SNDB,Unknown
LSQ12dlf,LSQ12dlf_2012-08-13_14-55-06_ANU-2.3m_WiFeS_PESSTO_0.dat,2456153.1215972,No,No,PESSTO,Unknown
LSQ12dlf,LSQ12dlf_2012-09-10_08-26-07_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456180.8514699,No,No,PESSTO-SSDR1-2,Unknown
LSQ12dlf,LSQ12dlf_2012-09-23_07-48-38_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456193.8254398,No,No,PESSTO-SSDR1-2,Unknown
